Straße;Hausnr;PLZ;Ort;Preis;Wohnfläche;Grundstücksfläche;Zimmer;Typ;Baujahr;Beschreibung;Provision;Energieausweis-Klasse;Energieverbrauch;Kontakt Name;Kontakt Telefon;Kontakt E-Mail;Exposé-Nr;Notizen;Status
Spreegasse;67;23380;Lübeck;575.000,00;118;;2;wohnung;1969;Gemütliche Dachgeschosswohnung mit Galerie und Skyline-Blick.;Provisionsfrei;C;93;Thomas Meyer;+49 451 47180591;thomas.meyer@immobilien-profis.de;IS-2024-6193;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;verkauft
Brunnenring;84;65815;Wiesbaden;440.000,00;83;;1;wohnung;1987;Ruhig gelegene Wohnung im Grünen mit Tiefgaragenstellplatz.;Auf Anfrage;A+;26;Monika Hartmann;+49 611 44019337;monika.hartmann@immobilien-agentur.de;IS-2024-2775;Garagenstellplatz separat zu erwerben (15.000 €).;verfuegbar
Burgweg;83;55965;Mainz;775.000,00;187;290;5,5;haus;1980;Gepflegtes Reihenhaus in familienfreundlicher Wohnlage.;Provisionsfrei;C;88;Sophia Fischer;+49 451 12112027;sophia.fischer@immobilien-profis.de;IS-2024-3433;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;verfuegbar
Flussplatz;59;80690;München;1.440.000,00;203;1140;5,5;haus;2010;Zweifamilienhaus mit separaten Eingängen, ideal zur Kapitalanlage.;Provisionsfrei;B;73;Maria Kaiser;+49 221 85161725;maria.kaiser@immobilien-service.de;IS-2024-4024;Erstbesichtigung durchgeführt, Interessent meldet sich nächste Woche.;verfuegbar
Dorfpfad;93;20560;Hamburg;2.810.000,00;310;860;;gewerbe;1986;Atelier- und Showroom-Fläche in sanierter Industriehalle.;3,57% inkl. MwSt.;A;49;Michael Richter;+49 40 93434066;michael.richter@immobilien-kontor.de;IS-2024-5299;Energetische Sanierung geplant, Fördermittel beantragt.;verfuegbar
Heideallee;104;20857;Hamburg;530.000,00;;1520;;grundstueck;;Sonniges Eckgrundstück mit Südausrichtung, bebaubar nach §34 BauGB.;3,57% inkl. MwSt.;;;Thomas Meyer;+49 451 47180591;thomas.meyer@immobilien-profis.de;IS-2024-0086;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verkauft
Sonnenring;15;68563;Mannheim;300.000,00;;770;;grundstueck;;Voll erschlossenes Baugrundstück in ruhiger Wohnlage.;3,57% inkl. MwSt.;;;Alexander Schmidt;+49 711 15977656;alexander.schmidt@immobilien-zentrale.de;IS-2024-3783;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verkauft
Birkenring;84;28270;Bremen;595.000,00;;760;;grundstueck;;Waldrandgrundstück mit altem Baumbestand und Bachlauf.;2,38% inkl. MwSt.;;;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-2988;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verfuegbar
Spreeplatz;74;10181;Berlin;700.000,00;221;1140;8;haus;2000;Freistehendes Einfamilienhaus mit großem Garten und Doppelgarage.;Provisionsfrei;F;180;Martin Walter;+49 30 78329059;martin.walter@immobilien-service.de;IS-2024-6471;Energetische Sanierung geplant, Fördermittel beantragt.;verfuegbar
Marktdamm;30;01464;Dresden;1.250.000,00;109;1190;7;haus;1950;Doppelhaushälfte mit Carport und pflegeleichtem Vorgarten.;Auf Anfrage;A;41;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-3835;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;verkauft
